timestamp_us;ax_avg;ay_avg;az_avg;gx_avg;gy_avg;gz_avg;temp_avg
9217761;17;-15510;8788;1606;1410;-2258;3219
10217746;7894;639;6225;9891;7452;1188;3222
11217745;20763;7346;5692;3665;-255;2316;3210
12217745;20277;6480;5624;5233;5677;529;3188
13217744;6661;12306;8574;1882;234;1698;3193
14217745;13478;5485;6828;-2070;-2793;4629;3189
15217745;11267;3505;4782;5862;1894;-6521;3191
16217745;11695;4986;8566;-2014;-523;4406;3189
17217745;6394;4290;11763;-4920;-3194;-134;3175
18217745;5655;5687;9570;2476;4348;-3420;3170
19217743;11568;2289;9860;3201;1783;-2447;3168
20217745;4355;8343;8958;1365;-16881;-2073;3159
21217743;15737;1898;6250;3261;8734;-1090;3165
22217745;7687;11982;-648;8677;4646;8543;3162
23217745;8196;5135;4918;-13409;-11654;-5787;3160
24217745;13989;-1937;-2110;9153;12139;-1551;3154
25217744;6498;-5246;-16473;-1282;-1606;-3498;3155
26217744;10253;-330;8920;947;-5827;-14109;3153
27217744;-3033;-2166;-9843;3108;-5760;6163;3134
28217744;8219;11717;5425;-1391;3726;-2304;3136
29217745;10648;3513;12398;5345;3401;7518;3140
30217745;5200;-3032;14073;-2783;8174;5506;3133
31217744;-1013;-8446;13491;-393;-1254;-1820;3129
